

Ente;Liste/Gruppi;Voti;
CASELLE IN PITTARI;CASAPOUND ITALIA - DESTRE UNITE;1;;
CASELLE IN PITTARI;PARTITO PIRATA;0;;
CASTELCIVITA;MOVIMENTO 5 STELLE;137;;
CASTELCIVITA;PARTITO DEMOCRATICO;135;;
CASTELCIVITA;LEGA SALVINI PREMIER;127;;
CASTELCIVITA;FRATELLI D'ITALIA;74;;
CASTELCIVITA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;65;;
CASTELCIVITA;FORZA ITALIA;48;;
CASTELCIVITA;LA SINISTRA;9;;
CASTELCIVITA;EUROPA VERDE;5;;
CASTELCIVITA;POPOLARI PER L'ITALIA;3;;
CASTELCIVITA;PARTITO COMUNISTA;3;;
CASTELCIVITA;PARTITO ANIMALISTA;1;;
CASTELCIVITA;FORZA NUOVA;1;;
CASTELCIVITA;PARTITO PIRATA;1;;
CASTELCIVITA;CASAPOUND ITALIA - DESTRE UNITE;1;;
CASTELCIVITA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CASTELLABATE;LEGA SALVINI PREMIER;994;;
CASTELLABATE;MOVIMENTO 5 STELLE;672;;
CASTELLABATE;FORZA ITALIA;668;;
CASTELLABATE;PARTITO DEMOCRATICO;411;;
CASTELLABATE;FRATELLI D'ITALIA;270;;
CASTELLABATE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;105;;
CASTELLABATE;LA SINISTRA;57;;
CASTELLABATE;EUROPA VERDE;38;;
CASTELLABATE;PARTITO COMUNISTA;17;;
CASTELLABATE;PARTITO ANIMALISTA;13;;
CASTELLABATE;CASAPOUND ITALIA - DESTRE UNITE;10;;
CASTELLABATE;FORZA NUOVA;3;;
CASTELLABATE;POPOLARI PER L'ITALIA;2;;
CASTELLABATE;PARTITO PIRATA;2;;
CASTELLABATE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CASTELNUOVO CILENTO;LEGA SALVINI PREMIER;442;;
CASTELNUOVO CILENTO;MOVIMENTO 5 STELLE;401;;
CASTELNUOVO CILENTO;FORZA ITALIA;267;;
CASTELNUOVO CILENTO;PARTITO DEMOCRATICO;240;;
