

Ente;Liste/Gruppi;Voti;
CASTELLO DEL MATESE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTEL MORRONE;MOVIMENTO 5 STELLE;426;;
CASTEL MORRONE;LEGA SALVINI PREMIER;346;;
CASTEL MORRONE;PARTITO DEMOCRATICO;245;;
CASTEL MORRONE;FORZA ITALIA;142;;
CASTEL MORRONE;FRATELLI D'ITALIA;133;;
CASTEL MORRONE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;23;;
CASTEL MORRONE;LA SINISTRA;23;;
CASTEL MORRONE;PARTITO COMUNISTA;10;;
CASTEL MORRONE;EUROPA VERDE;10;;
CASTEL MORRONE;PARTITO ANIMALISTA;8;;
CASTEL MORRONE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CASTEL MORRONE;PARTITO PIRATA;2;;
CASTEL MORRONE;FORZA NUOVA;1;;
CASTEL MORRONE;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTEL MORRONE;POPOLARI PER L'ITALIA;0;;
CASTEL VOLTURNO;MOVIMENTO 5 STELLE;3125;;
CASTEL VOLTURNO;LEGA SALVINI PREMIER;2691;;
CASTEL VOLTURNO;FORZA ITALIA;1675;;
CASTEL VOLTURNO;PARTITO DEMOCRATICO;880;;
CASTEL VOLTURNO;FRATELLI D'ITALIA;803;;
CASTEL VOLTURNO;LA SINISTRA;93;;
CASTEL VOLTURNO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;85;;
CASTEL VOLTURNO;PARTITO ANIMALISTA;76;;
CASTEL VOLTURNO;EUROPA VERDE;57;;
CASTEL VOLTURNO;PARTITO COMUNISTA;34;;
CASTEL VOLTURNO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;18;;
CASTEL VOLTURNO;FORZA NUOVA;13;;
CASTEL VOLTURNO;CASAPOUND ITALIA - DESTRE UNITE;13;;
CASTEL VOLTURNO;POPOLARI PER L'ITALIA;9;;
CASTEL VOLTURNO;PARTITO PIRATA;7;;
CELLOLE;LEGA SALVINI PREMIER;887;;
CELLOLE;FORZA ITALIA;711;;
CELLOLE;MOVIMENTO 5 STELLE;606;;
CELLOLE;PARTITO DEMOCRATICO;381;;
CELLOLE;FRATELLI D'ITALIA;140;;
CELLOLE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;61;;
