

Ente;Candidato;Liste/Gruppi;Voti lista;;
SAVIANO;;NOI CON L'ITALIA - UDC;1041;;
SAVIANO;;LEGA;218;;
SAVIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;153;;
SAVIANO;MANZI ANDREA;PARTITO DEMOCRATICO;837;;
SAVIANO;;+EUROPA;61;;
SAVIANO;;CIVICA POPOLARE LORENZIN;17;;
SAVIANO;;ITALIA EUROPA INSIEME;12;;
SAVIANO;MONTANINO NICOLA;LIBERI E UGUALI;139;;
SAVIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;117;;
SAVIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;57;;
SAVIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;31;;
SAVIANO;PETROCCO GERMANA;CASAPOUND ITALIA;21;;
SAVIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;17;;
SAVIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
STRIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;2344;;
STRIANO;CESA LORENZO;FORZA ITALIA;936;;
STRIANO;;LEGA;157;;
STRIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;151;;
STRIANO;;NOI CON L'ITALIA - UDC;83;;
STRIANO;MANZI ANDREA;PARTITO DEMOCRATICO;493;;
STRIANO;;+EUROPA;21;;
STRIANO;;ITALIA EUROPA INSIEME;8;;
STRIANO;;CIVICA POPOLARE LORENZIN;4;;
STRIANO;MONTANINO NICOLA;LIBERI E UGUALI;81;;
STRIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;39;;
STRIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;36;;
STRIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;19;;
STRIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;13;;
STRIANO;PETROCCO GERMANA;CASAPOUND ITALIA;13;;
STRIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;9;;
TERZIGNO;NAPPI SILVANA;MOVIMENTO 5 STELLE;3858;;
TERZIGNO;CESA LORENZO;FORZA ITALIA;2020;;
TERZIGNO;;FRATELLI D'ITALIA CON GIORGIA MELONI;1019;;
TERZIGNO;;NOI CON L'ITALIA - UDC;514;;
TERZIGNO;;LEGA;211;;
TERZIGNO;MANZI ANDREA;PARTITO DEMOCRATICO;774;;
TERZIGNO;;+EUROPA;54;;
TERZIGNO;;CIVICA POPOLARE LORENZIN;17;;
TERZIGNO;;ITALIA EUROPA INSIEME;7;;
TERZIGNO;MONTANINO NICOLA;LIBERI E UGUALI;78;;
TERZIGNO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;55;;
TERZIGNO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;47;;
TERZIGNO;PETROCCO GERMANA;CASAPOUND ITALIA;23;;
TERZIGNO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;20;;
TERZIGNO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;15;;
TERZIGNO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;11;;
TUFINO;NAPPI SILVANA;MOVIMENTO 5 STELLE;1063;;
TUFINO;CESA LORENZO;FORZA ITALIA;280;;
TUFINO;;NOI CON L'ITALIA - UDC;110;;
TUFINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;107;;
TUFINO;;LEGA;44;;
TUFINO;MANZI ANDREA;PARTITO DEMOCRATICO;207;;
TUFINO;;+EUROPA;14;;
TUFINO;;CIVICA POPOLARE LORENZIN;11;;
TUFINO;;ITALIA EUROPA INSIEME;2;;
TUFINO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;51;;
TUFINO;MONTANINO NICOLA;LIBERI E UGUALI;24;;
TUFINO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;18;;
TUFINO;PETROCCO GERMANA;CASAPOUND ITALIA;8;;
TUFINO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;2;;
TUFINO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
TUFINO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
VISCIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;1187;;
VISCIANO;CESA LORENZO;FORZA ITALIA;311;;
VISCIANO;;NOI CON L'ITALIA - UDC;270;;
VISCIANO;;LEGA;59;;
VISCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;48;;
VISCIANO;MANZI ANDREA;PARTITO DEMOCRATICO;367;;
VISCIANO;;+EUROPA;26;;
VISCIANO;;ITALIA EUROPA INSIEME;6;;
VISCIANO;;CIVICA POPOLARE LORENZIN;6;;
VISCIANO;MONTANINO NICOLA;LIBERI E UGUALI;51;;
VISCIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;42;;
VISCIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;21;;
VISCIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;18;;
VISCIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
VISCIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
VISCIANO;PETROCCO GERMANA;CASAPOUND ITALIA;1;;
