

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
CARINOLA;;;NOI SUD;4;;
CARINOLA;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
CARINOLA;;;POPOLARI PER L'ITALIA;2;;
CARINOLA;DE LUCA VINCENZO;;;;;1557
CARINOLA;;;PARTITO DEMOCRATICO;1268;;
CARINOLA;;;CAMPANIA LIBERA;81;;
CARINOLA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;58;;
CARINOLA;;;UNIONE DI CENTRO;47;;
CARINOLA;;;CAMPANIA IN RETE;34;;
CARINOLA;;;PARTITO SOCIALISTA ITALIANO;17;;
CARINOLA;;;ITALIA DEI VALORI;9;;
CARINOLA;;;DAVVERO-VERDI;8;;
CARINOLA;VOZZA SALVATORE;;;;;414
CARINOLA;;;SINISTRA AL LAVORO;440;;
CARINOLA;CIARAMBINO VALERIA;;;;;378
CARINOLA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;338;;
CARINOLA;ESPOSITO MARCO;;;;;11
CARINOLA;;;MO! LISTA CIVICA CAMPANIA;10;;
CASAGIOVE;CALDORO STEFANO;;;;;2294
CASAGIOVE;;;FORZA ITALIA;888;;
CASAGIOVE;;;CALDORO PRESIDENTE;546;;
CASAGIOVE;;;NCD - CAMPANIA POPOLARE;388;;
CASAGIOVE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;360;;
CASAGIOVE;;;NOI SUD;49;;
CASAGIOVE;;;POPOLARI PER L'ITALIA;35;;
CASAGIOVE;;;MAI PIU' LA TERRA DEI FUOCHI;15;;
CASAGIOVE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
CASAGIOVE;DE LUCA VINCENZO;;;;;2070
CASAGIOVE;;;PARTITO DEMOCRATICO;936;;
CASAGIOVE;;;CAMPANIA LIBERA;511;;
CASAGIOVE;;;CAMPANIA IN RETE;159;;
CASAGIOVE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;134;;
CASAGIOVE;;;UNIONE DI CENTRO;79;;
CASAGIOVE;;;DAVVERO-VERDI;27;;
CASAGIOVE;;;ITALIA DEI VALORI;21;;
CASAGIOVE;;;PARTITO SOCIALISTA ITALIANO;18;;
CASAGIOVE;CIARAMBINO VALERIA;;;;;1266
CASAGIOVE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1173;;
CASAGIOVE;VOZZA SALVATORE;;;;;130
CASAGIOVE;;;SINISTRA AL LAVORO;121;;
CASAGIOVE;ESPOSITO MARCO;;;;;60
CASAGIOVE;;;MO! LISTA CIVICA CAMPANIA;56;;
CASAL DI PRINCIPE;CALDORO STEFANO;;;;;3748
CASAL DI PRINCIPE;;;FORZA ITALIA;2162;;
CASAL DI PRINCIPE;;;CALDORO PRESIDENTE;713;;
CASAL DI PRINCIPE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;568;;
CASAL DI PRINCIPE;;;NCD - CAMPANIA POPOLARE;397;;
