

Ente;Liste/Gruppi;Voti;
CARIFE;PARTITO ANIMALISTA;8;;
CARIFE;PARTITO PIRATA;2;;
CARIFE;POPOLARI PER L'ITALIA;2;;
CARIFE;FORZA NUOVA;2;;
CARIFE;CASAPOUND ITALIA - DESTRE UNITE;1;;
CARIFE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CASALBORE;MOVIMENTO 5 STELLE;235;;
CASALBORE;LEGA SALVINI PREMIER;144;;
CASALBORE;PARTITO DEMOCRATICO;116;;
CASALBORE;FORZA ITALIA;91;;
CASALBORE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;27;;
CASALBORE;LA SINISTRA;13;;
CASALBORE;FRATELLI D'ITALIA;12;;
CASALBORE;PARTITO COMUNISTA;6;;
CASALBORE;EUROPA VERDE;5;;
CASALBORE;PARTITO ANIMALISTA;2;;
CASALBORE;POPOLARI PER L'ITALIA;2;;
CASALBORE;CASAPOUND ITALIA - DESTRE UNITE;1;;
CASALBORE;FORZA NUOVA;0;;
CASALBORE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASALBORE;PARTITO PIRATA;0;;
CASSANO IRPINO;LEGA SALVINI PREMIER;332;;
CASSANO IRPINO;MOVIMENTO 5 STELLE;86;;
CASSANO IRPINO;PARTITO DEMOCRATICO;76;;
CASSANO IRPINO;FORZA ITALIA;21;;
CASSANO IRPINO;FRATELLI D'ITALIA;13;;
CASSANO IRPINO;LA SINISTRA;9;;
CASSANO IRPINO;PARTITO ANIMALISTA;8;;
CASSANO IRPINO;POPOLARI PER L'ITALIA;3;;
CASSANO IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;2;;
CASSANO IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CASSANO IRPINO;EUROPA VERDE;1;;
CASSANO IRPINO;FORZA NUOVA;0;;
CASSANO IRPINO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASSANO IRPINO;PARTITO PIRATA;0;;
CASSANO IRPINO;PARTITO COMUNISTA;0;;
CASTEL BARONIA;MOVIMENTO 5 STELLE;252;;
CASTEL BARONIA;LEGA SALVINI PREMIER;144;;
CASTEL BARONIA;PARTITO DEMOCRATICO;140;;
CASTEL BARONIA;FORZA ITALIA;107;;
CASTEL BARONIA;PARTITO COMUNISTA;25;;
CASTEL BARONIA;FRATELLI D'ITALIA;21;;
CASTEL BARONIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;18;;
CASTEL BARONIA;LA SINISTRA;14;;
CASTEL BARONIA;EUROPA VERDE;6;;
CASTEL BARONIA;PARTITO ANIMALISTA;4;;
CASTEL BARONIA;POPOLARI PER L'ITALIA;3;;
CASTEL BARONIA;FORZA NUOVA;2;;
CASTEL BARONIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTEL BARONIA;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTEL BARONIA;PARTITO PIRATA;0;;
CASTELFRANCI;MOVIMENTO 5 STELLE;188;;
CASTELFRANCI;FORZA ITALIA;188;;
CASTELFRANCI;LEGA SALVINI PREMIER;162;;
CASTELFRANCI;PARTITO DEMOCRATICO;133;;
CASTELFRANCI;FRATELLI D'ITALIA;66;;
CASTELFRANCI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;20;;
CASTELFRANCI;LA SINISTRA;14;;
CASTELFRANCI;POPOLARI PER L'ITALIA;7;;
CASTELFRANCI;CASAPOUND ITALIA - DESTRE UNITE;6;;
CASTELFRANCI;PARTITO COMUNISTA;5;;
CASTELFRANCI;FORZA NUOVA;3;;
CASTELFRANCI;EUROPA VERDE;3;;
CASTELFRANCI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CASTELFRANCI;PARTITO PIRATA;2;;
CASTELFRANCI;PARTITO ANIMALISTA;1;;
CASTELVETERE SUL CALORE;FORZA ITALIA;265;;
CASTELVETERE SUL CALORE;LEGA SALVINI PREMIER;225;;
CASTELVETERE SUL CALORE;PARTITO DEMOCRATICO;223;;
CASTELVETERE SUL CALORE;MOVIMENTO 5 STELLE;207;;
CASTELVETERE SUL CALORE;FRATELLI D'ITALIA;49;;
CASTELVETERE SUL CALORE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;19;;
CASTELVETERE SUL CALORE;EUROPA VERDE;16;;
CASTELVETERE SUL CALORE;LA SINISTRA;14;;
CASTELVETERE SUL CALORE;PARTITO COMUNISTA;8;;
CASTELVETERE SUL CALORE;PARTITO ANIMALISTA;8;;
CASTELVETERE SUL CALORE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
CASTELVETERE SUL CALORE;POPOLARI PER L'ITALIA;3;;
CASTELVETERE SUL CALORE;FORZA NUOVA;3;;
CASTELVETERE SUL CALORE;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTELVETERE SUL CALORE;PARTITO PIRATA;0;;
CERVINARA;PARTITO DEMOCRATICO;1205;;
CERVINARA;MOVIMENTO 5 STELLE;955;;
CERVINARA;LEGA SALVINI PREMIER;783;;
CERVINARA;FORZA ITALIA;376;;
CERVINARA;FRATELLI D'ITALIA;308;;
CERVINARA;POPOLARI PER L'ITALIA;89;;
CERVINARA;LA SINISTRA;38;;
CERVINARA;PARTITO COMUNISTA;28;;
CERVINARA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;23;;
CERVINARA;EUROPA VERDE;16;;
CERVINARA;PARTITO ANIMALISTA;5;;
CERVINARA;PARTITO PIRATA;3;;
CERVINARA;FORZA NUOVA;3;;
CERVINARA;CASAPOUND ITALIA - DESTRE UNITE;3;;
CERVINARA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CESINALI;MOVIMENTO 5 STELLE;559;;
CESINALI;LEGA SALVINI PREMIER;376;;
CESINALI;PARTITO DEMOCRATICO;312;;
CESINALI;FORZA ITALIA;171;;
CESINALI;FRATELLI D'ITALIA;68;;
CESINALI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;56;;
CESINALI;EUROPA VERDE;24;;
CESINALI;PARTITO COMUNISTA;21;;
CESINALI;LA SINISTRA;20;;
CESINALI;PARTITO ANIMALISTA;12;;
CESINALI;POPOLARI PER L'ITALIA;9;;
CESINALI;CASAPOUND ITALIA - DESTRE UNITE;6;;
CESINALI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
CESINALI;FORZA NUOVA;4;;
CESINALI;PARTITO PIRATA;1;;
CHIANCHE;MOVIMENTO 5 STELLE;54;;
CHIANCHE;PARTITO DEMOCRATICO;46;;
CHIANCHE;LEGA SALVINI PREMIER;42;;
CHIANCHE;FORZA ITALIA;39;;
CHIANCHE;FRATELLI D'ITALIA;28;;
CHIANCHE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7;;
CHIANCHE;LA SINISTRA;5;;
CHIANCHE;PARTITO COMUNISTA;2;;
CHIANCHE;FORZA NUOVA;1;;
CHIANCHE;EUROPA VERDE;1;;
CHIANCHE;POPOLARI PER L'ITALIA;1;;
CHIANCHE;PARTITO PIRATA;1;;
CHIANCHE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CHIANCHE;CASAPOUND ITALIA - DESTRE UNITE;0;;
CHIANCHE;PARTITO ANIMALISTA;0;;
CHIUSANO DI SAN DOMENICO;MOVIMENTO 5 STELLE;533;;
CHIUSANO DI SAN DOMENICO;LEGA SALVINI PREMIER;398;;
CHIUSANO DI SAN DOMENICO;FORZA ITALIA;163;;
CHIUSANO DI SAN DOMENICO;PARTITO DEMOCRATICO;152;;
CHIUSANO DI SAN DOMENICO;FRATELLI D'ITALIA;63;;
CHIUSANO DI SAN DOMENICO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;27;;
CHIUSANO DI SAN DOMENICO;PARTITO ANIMALISTA;16;;
CHIUSANO DI SAN DOMENICO;LA SINISTRA;14;;
CHIUSANO DI SAN DOMENICO;PARTITO COMUNISTA;12;;
CHIUSANO DI SAN DOMENICO;POPOLARI PER L'ITALIA;10;;
CHIUSANO DI SAN DOMENICO;EUROPA VERDE;9;;
CHIUSANO DI SAN DOMENICO;FORZA NUOVA;8;;
CHIUSANO DI SAN DOMENICO;CASAPOUND ITALIA - DESTRE UNITE;6;;
CHIUSANO DI SAN DOMENICO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CHIUSANO DI SAN DOMENICO;PARTITO PIRATA;1;;
CONTRADA;MOVIMENTO 5 STELLE;610;;
CONTRADA;LEGA SALVINI PREMIER;490;;
CONTRADA;PARTITO DEMOCRATICO;374;;
CONTRADA;FORZA ITALIA;236;;
